strategy_name,strategy_type,symbol,symbols,num_assets,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.07709060250468593,-1.3698035673197142,0.1639068226857317,0.5102611940298507,0,0.0,9229.09397495314,-0.03172261238795142,-0.04536799011673451,False
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,0.041712198875595276,0.9905564198634909,0.16768960304029512,0.5251865671641791,0,0.0,10417.121988755953,-0.03172261238795142,0.0734348112635467,True
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.24042182726981992,1.52195775630356,0.17353819636868698,0.5151608910891089,0,0.0,12404.2182726982,-0.06572224413093859,0.3061440714007585,True
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.372753688002166,2.2140074734730977,0.16821367184866026,0.5244430693069307,0,0.0,13727.53688002166,-0.06572224413093859,0.4384759321331046,True
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.1974705242539163,0.7161278504855678,0.45882146384012595,0.5143695920889988,0,0.0,11974.705242539163,0.30865427637442866,-0.11118375212051235,False
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.33720799442171484,1.0226000256210126,0.4031589185730266,0.5193139678615575,0,0.0,13372.079944217148,0.30865427637442866,0.02855371804728618,True
CopulaPairsTrading,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.17712198972180723,-10.983194172064458,0.18260662311093936,0.20335820895522388,0,0.0,8228.780102781928,-0.03172261238795142,-0.14539937733385583,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,-0.17712198972180723,-10.983194172064458,0.18260662311093936,0.20335820895522388,0,0.0,8228.780102781928,-0.03172261238795142,-0.14539937733385583,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,-0.21849956181527613,-4.156145265697165,0.24690797076911958,0.21936881188118812,0,0.0,7815.004381847239,-0.06572224413093859,-0.15277731768433755,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,-0.21849956181527613,-4.156145265697165,0.24690797076911958,0.21936881188118812,0,0.0,7815.004381847239,-0.06572224413093859,-0.15277731768433755,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,-0.46289707146939263,-4.429888989230499,0.48094863810840544,0.21399876390605685,0,0.0,5371.029285306074,0.30865427637442866,-0.7715513478438213,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,-0.46289707146939263,-4.429888989230499,0.48094863810840544,0.21399876390605685,0,0.0,5371.029285306074,0.30865427637442866,-0.7715513478438213,False
DeepRLPortfolio,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,0.00010090176517132932,0.1645456333430565,0.12446177831866936,0.5018656716417911,0,0.0,10001.009017651713,-0.03172261238795142,0.03182351415312275,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,-0.019842330054088596,-0.333992663753367,0.1464338386823006,0.5205223880597015,0,0.0,9801.576699459114,-0.03172261238795142,0.011880282333862822,True
DeepRLPortfolio,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.040596465218527555,0.49472425572787593,0.13251129241342655,0.505259900990099,0,0.0,10405.964652185276,-0.06572224413093859,0.10631870934946615,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.06468352144615347,0.6950288612716969,0.14445089713399276,0.5213490099009901,0,0.0,10646.835214461535,-0.06572224413093859,0.13040576557709205,True
DeepRLPortfolio,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.13858925153823257,0.6177080870151211,0.3107491493359072,0.504017305315204,0,0.0,11385.892515382326,0.30865427637442866,-0.1700650248361961,False
