strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005182395261700549,0.4203129819554057,0.05220881422317336,0.2857142857142857,7,1.0704299003887592,10051.823952617005,-0.03172261238795142,0.03690500764965197,True
BollingerBreakout,single_pair,BTC/USDT,90d,90,-0.13807884379360638,-2.8164618538564876,0.19084816534720672,0.2608695652173913,23,0.43702313386483244,8619.211562063936,-0.06572224413093859,-0.07235659966266779,False
BollingerBreakout,single_pair,BTC/USDT,180d,180,-0.0598272509921042,-0.4274918714574149,0.22830090280614523,0.30434782608695654,46,0.8740599455182331,9401.727490078958,0.30865427637442866,-0.36848152736653284,False
BollingerBreakout,single_pair,BTC/USDT,365d,365,-0.03353529648548356,0.026721420377727838,0.3221990169552096,0.3404255319148936,94,0.9676727596996434,9664.647035145164,0.7637817175530736,-0.7973170140385571,False
BollingerBreakout,single_pair,BTC/USDT,730d,730,0.15305851126806683,0.3847515491275012,0.334123991890539,0.3556701030927835,194,1.0547318510265338,11530.585112680668,3.142525508907564,-2.9894669976394974,False
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04300795614087037,-1.658741723550218,0.1182737086303236,0.0,1,0.0,9569.920438591296,-0.03172261238795142,-0.011285343752918953,False
Ichimoku_Cloud,single_pair,BTC/USDT,90d,90,-0.06781442694725393,-0.8138202215532785,0.12632488229727545,0.0,1,0.0,9321.85573052746,-0.06572224413093859,-0.0020921828163153328,False
Ichimoku_Cloud,single_pair,BTC/USDT,180d,180,0.2939198428322106,1.8109749193693847,0.12812374153152206,1.0,1,0.0,12939.198428322106,0.30865427637442866,-0.01473443354221804,False
Ichimoku_Cloud,single_pair,BTC/USDT,365d,365,0.6853139622189368,1.407549004551152,0.2999750298123669,1.0,1,0.0,16853.139622189366,0.7637817175530736,-0.07846775533413675,False
Ichimoku_Cloud,single_pair,BTC/USDT,730d,730,2.709868997976313,1.6295539820499154,0.31659065290348665,1.0,1,0.0,37098.68997976313,3.142525508907564,-0.43265651093125124,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.09733806262070376,-6.329389096168726,0.09733806262070288,0.2692307692307692,26,0.3955906114263855,9026.619373792963,-0.03172261238795142,-0.06561545023275234,False
MACD_Momentum,single_pair,BTC/USDT,90d,90,-0.30581190147699083,-6.846266349079704,0.30663268505071417,0.23529411764705882,85,0.2961260874490411,6941.880985230092,-0.06572224413093859,-0.24008965734605225,False
MACD_Momentum,single_pair,BTC/USDT,180d,180,-0.36513296240167703,-3.9515617984796276,0.412052968713187,0.2634730538922156,167,0.5686020104149492,6348.67037598323,0.30865427637442866,-0.6737872387761057,False
MACD_Momentum,single_pair,BTC/USDT,365d,365,-0.5540717441826828,-2.4636262456309646,0.6084060397624629,0.2927536231884058,345,0.6922408631181426,4459.282558173172,0.7637817175530736,-1.3178534617357562,False
MACD_Momentum,single_pair,BTC/USDT,730d,730,-0.6773917959998836,-1.5644449827363973,0.7422916520042203,0.3158682634730539,668,0.8172163241618987,3226.0820400011635,3.142525508907564,-3.819917304907448,False
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,-0.03172261238795142,-0.09662173775324957,False
RSI_MeanReversion,single_pair,BTC/USDT,90d,90,-0.14336687309083682,-2.4003380184183434,0.1687545833520394,0.16666666666666666,6,0.08228872586369836,8566.331269091632,-0.06572224413093859,-0.07764462895989822,False
RSI_MeanReversion,single_pair,BTC/USDT,180d,180,-0.023086441052573355,-0.10180372971470647,0.16875458335203652,0.5333333333333333,15,0.8864811273421676,9769.135589474266,0.30865427637442866,-0.331740717427002,False
RSI_MeanReversion,single_pair,BTC/USDT,365d,365,0.09367083469308728,0.4466101664237006,0.17981518625365822,0.5161290322580645,31,1.261001980213773,10936.708346930873,0.7637817175530736,-0.6701108828599863,False
RSI_MeanReversion,single_pair,BTC/USDT,730d,730,0.24089228250917713,0.49103923081586043,0.29760531832322445,0.5714285714285714,63,1.2270454281687342,12408.922825091771,3.142525508907564,-2.901633226398387,False
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.051802266974184746,3.302064575347981,0.04688891452566313,1.0,1,0.0,10518.022669741847,-0.03172261238795142,0.08352487936213616,True
SMA_Crossover,single_pair,BTC/USDT,90d,90,0.009827154902657094,0.302378983092925,0.0865530678603702,0.2857142857142857,7,1.141820008711847,10098.271549026571,-0.06572224413093859,0.07554939903359568,True
SMA_Crossover,single_pair,BTC/USDT,180d,180,0.1574564519905558,1.4568075805936642,0.12261094266046269,0.46153846153846156,13,2.7942109774338144,11574.564519905558,0.30865427637442866,-0.15119782438387286,False
SMA_Crossover,single_pair,BTC/USDT,365d,365,0.1873680415407589,0.702366568790424,0.31850786190098823,0.3125,32,1.4078487346299058,11873.680415407589,0.7637817175530736,-0.5764136760123146,False
SMA_Crossover,single_pair,BTC/USDT,730d,730,0.900080243699299,1.1471168988034632,0.31850786190098723,0.35714285714285715,56,1.703815615948709,19000.80243699299,3.142525508907564,-2.242445265208265,False
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,-0.03172261238795142,0.0022469340274683114,True
