strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
HierarchicalRiskParity,PORTFOLIO,1h,30d,0,train,2022-10-26 14:00:00,2022-11-25 14:00:00,-0.19696185907370536,-0.04141526181168235,0.2570710720289391,0.0,1,0.0,8030.381409262946,2025-10-25T13:08:33.703229
HierarchicalRiskParity,PORTFOLIO,1h,30d,1,train,2022-11-25 14:00:00,2022-12-25 14:00:00,0.015197366856866575,0.008449155040816244,0.09413817276872094,1.0,1,0.0,10151.973668568666,2025-10-25T13:08:34.461774
HierarchicalRiskParity,PORTFOLIO,1h,30d,2,train,2022-12-25 14:00:00,2023-01-24 14:00:00,0.33849135791268326,0.09709026313014582,0.03357294232260599,1.0,1,0.0,13384.913579126833,2025-10-25T13:08:34.487969
HierarchicalRiskParity,PORTFOLIO,1h,30d,3,train,2023-01-24 14:00:00,2023-02-23 14:00:00,0.046389130523961104,0.015635798334081113,0.10756035405854636,1.0,1,0.0,10463.891305239611,2025-10-25T13:08:34.507954
HierarchicalRiskParity,PORTFOLIO,1h,30d,4,train,2023-02-23 14:00:00,2023-03-25 14:00:00,0.13746826095443793,0.03076258334477424,0.1736617824677129,1.0,1,0.0,11374.68260954438,2025-10-25T13:08:43.344170
HierarchicalRiskParity,PORTFOLIO,1h,30d,5,train,2023-03-25 14:00:00,2023-04-24 14:00:00,-0.004761458974140805,0.0004920808193039767,0.11598255720003225,0.0,1,0.0,9952.385410258592,2025-10-25T13:08:43.368705
HierarchicalRiskParity,PORTFOLIO,1h,30d,6,train,2023-04-24 14:00:00,2023-05-24 14:00:00,-0.04206557348480583,-0.009909795824687838,0.11812687672193656,0.0,1,0.0,9579.344265151942,2025-10-25T13:08:43.396162
HierarchicalRiskParity,PORTFOLIO,1h,30d,7,train,2023-05-24 14:00:00,2023-06-23 14:00:00,0.14407400373976634,0.04967630336051418,0.11052783206351957,1.0,1,0.0,11440.740037397663,2025-10-25T13:08:43.425362
HierarchicalRiskParity,PORTFOLIO,1h,30d,8,train,2023-06-23 14:00:00,2023-07-23 14:00:00,-0.013552900384416717,-0.00397078513832458,0.05777238859939482,0.0,1,0.0,9864.470996155833,2025-10-25T13:08:52.450778
HierarchicalRiskParity,PORTFOLIO,1h,30d,9,train,2023-07-23 14:00:00,2023-08-22 14:00:00,-0.1251915241546949,-0.05876584046290228,0.13862996965724372,0.0,1,0.0,8748.084758453051,2025-10-25T13:08:52.604310
HierarchicalRiskParity,PORTFOLIO,1h,30d,10,train,2023-08-22 14:00:00,2023-09-21 14:00:00,0.020044447729131026,0.009127344532481535,0.10144071682814959,1.0,1,0.0,10200.44447729131,2025-10-25T13:08:52.824375
