timestamp,total_value,BTC/USDT_value,ETH/USDT_value,SOL/USDT_value,BNB/USDT_value,BTC/USDT_weight,ETH/USDT_weight,SOL/USDT_weight,BNB/USDT_weight
2025-01-07,10308.175086053963,2625.765904505855,2720.3341013824884,2126.9410427976263,2835.134037367993,0.2547265527201105,0.263900649598284,0.2063353624712086,0.2750374352103968
2025-01-08,10156.037107243546,2574.4717925174295,2676.873889761347,2077.5996296763874,2827.0917952883833,0.25349176704772475,0.26357464643882916,0.20456794394681663,0.27836564256662955
2025-01-09,9826.476565747884,2506.5458219997904,2589.91324048091,1945.7770483524805,2784.2404549147036,0.2550808324050605,0.26356479081307355,0.198013706676396,0.2833406701054701
2025-01-10,9983.95009766665,2565.4127215247536,2628.401513786268,1974.4981694230526,2815.637692932575,0.256953680299776,0.26326268541752346,0.1977672314172036,0.28201640286549695
2025-01-11,10011.726740677674,2561.997086147784,2641.1048966351723,1978.8115978622227,2829.813160032494,0.25589962176438386,0.2638011369112139,0.19764938148204803,0.2826498598423542
2025-01-12,9988.516088555869,2560.5094485704217,2628.6106891846666,1983.23023187308,2816.165718927701,0.2563453295634245,0.26316328330254596,0.1985510374404186,0.281940349693611
2025-01-13,9805.428567168798,2560.266790046971,2524.191939345571,1923.8942894415688,2797.075548334687,0.2611070768104344,0.25742800756279455,0.19620705778055256,0.28525785784621854
2025-01-14,10022.237784165121,2615.10219986201,2595.0863089874624,1973.3409081344946,2838.7083671811533,0.2609299695516908,0.25893282167857085,0.19689623721084754,0.2832409715588907
2025-01-15,10566.770956398312,2721.7118930517227,2776.8195041577633,2165.761898750158,2902.4776604386675,0.257572715854477,0.2627878957172214,0.20495967099947046,0.27467971742883107
2025-01-16,10466.720831386814,2707.8985024394224,2661.3949102798447,2221.310440600934,2876.1169780666123,0.2587150785869038,0.25427208322009065,0.21222601389537737,0.2747868242976281
2025-01-17,10854.24578072073,2818.6704934493573,2794.607458229282,2309.367504103017,2931.6003249390737,0.2596836805055464,0.2574667567591894,0.2127616741648606,0.27008788857040356
2025-01-18,11130.712585510551,2831.636204175048,2661.1213732204,2756.0703614863446,2881.884646628757,0.2543984657245702,0.23907915623340462,0.2476095164899029,0.2589128615521221
2025-01-19,10761.473503428095,2744.304593211693,2586.630795767577,2655.599040525186,2774.939073923639,0.2550119732523142,0.24036028104734908,0.24676909158204385,0.25785865411829295
2025-01-20,10731.64601781989,2769.4489994073283,2642.0461859279667,2547.973740689307,2772.177091795288,0.25806376718060403,0.24619207356829054,0.2374261820095816,0.25831797724152383
2025-01-21,10996.894040978019,2874.6319904747866,2677.075019952115,2633.6110760425872,2811.57595450853,0.26140399095989914,0.24343919382840817,0.23948681020558096,0.2556700050061117
2025-01-22,10949.957716766636,2808.627788799121,2608.7390263367915,2707.570592938602,2825.02030869212,0.2564966789322423,0.23824192693842788,0.24726767563611274,0.25799371849321695
2025-01-23,10964.204879086537,2814.1439370197136,2685.6592564940916,2662.8582249715946,2801.543460601137,0.2566664859015448,0.24494792701446147,0.2428683387749177,0.25551724830907596
2025-01-24,10932.58701083397,2840.147397720245,2663.0361326365114,2665.5935698354583,2763.809910641755,0.25978731245456516,0.243587005527374,0.24382093343450273,0.2528047485835581
2025-01-25,10992.3713466849,2836.7986559317715,2670.0193728599747,2697.57606362833,2787.977254264825,0.25806976187966013,0.24289748668882116,0.24540437895976558,0.2536283724717532
2025-01-26,10620.776636443446,2779.1984014003133,2600.701863913704,2530.1939990741907,2710.6823720552393,0.26167562849066534,0.2448692739653166,0.23823060080109834,0.2552244967429198
2025-01-27,10557.089342384594,2764.650535435782,2560.3390572303892,2471.173673357741,2760.926076360682,0.2618762090357865,0.24252319689586618,0.23407717726101596,0.2615234168073314
2025-01-28,10295.285924873746,2744.4115687884378,2476.0896429215045,2388.79771072676,2685.987002437043,0.2665697280109385,0.24050712733865812,0.23202830190032384,0.2608948427500795
2025-01-29,10428.034582493576,2809.3476396421265,2505.1972041294443,2400.3703236123383,2713.119415109667,0.26940336814364,0.24023675643875703,0.23018434630453213,0.26017552911307085
2025-01-30,10707.847409272328,2836.1511151621603,2612.592680791906,2507.153978874721,2751.9496344435415,0.26486659799673934,0.24398859835540462,0.23414173578003006,0.25700306786782606
2025-01-31,10619.81128330203,2774.0408244799987,2655.714993692557,2438.3495349913733,2751.705930138099,0.2612137589339029,0.2500717689652591,0.22960384793515978,0.25911062416567804
2025-02-01,10126.84883231209,2725.457392359008,2508.125659707026,2241.1942936497917,2652.071486596263,0.269131833355979,0.24767088965565104,0.22131211107829862,0.26188516591007127
2025-02-02,9605.066582679658,2645.968851528624,2308.717143372036,2141.0385894036945,2509.3419983753042,0.27547636747255544,0.2403645121560356,0.22290720954131893,0.2612519108300901
2025-02-03,9843.49301454083,2744.2219918169912,2316.939345570631,2275.3861044480914,2506.9455727051177,0.27878538520454277,0.2353777609379153,0.23115636909447548,0.25468048476306654
2025-02-04,9345.046560658951,2647.662586356373,2197.2990628942152,2173.9679333417494,2326.116978066613,0.2833225676480393,0.23512981434939753,0.23263318371186964,0.24891443429069338
2025-02-05,9236.358649470229,2616.4988404930778,2243.2050176350954,2063.291671926945,2313.3631194151094,0.2832825077275613,0.2428668161087226,0.22338799847765653,0.25046267768605945
2025-02-06,9092.627053730066,2614.925893278565,2161.457662899364,1994.0664057568488,2322.1770917952886,0.2875875011508192,0.23771542043096003,0.21930586110851466,0.25539121730970615
2025-02-07,9089.520692620166,2613.6381239939556,2109.5338928507067,2019.8417708201825,2346.506904955321,0.28754410847163625,0.23208417299313144,0.22221653254611143,0.25815518598912074
2025-02-08,9314.151565054122,2611.9573887299634,2117.8687279561314,2096.9574548668097,2487.3679935012183,0.28042891190753194,0.227381819284774,0.22513671161787938,0.26705255718981474
2025-02-09,9336.381236044459,2612.4451431950697,2113.620858327112,2109.0560956108234,2501.2591389114536,0.2798134606060585,0.22638544901820962,0.22589652696148538,0.26790456341424645
2025-02-10,9401.496006999088,2638.6628258733354,2140.9826094791856,2109.0560956108234,2512.794476035743,0.28066414365425907,0.2277278645744569,0.22433196738484004,0.2672760243864439
2025-02-11,9378.475918853255,2593.9058695088625,2093.837692763175,2082.6494971173674,2608.0828594638506,0.2765807463763291,0.223259910339376,0.2220669451131908,0.2780923981711041
2025-02-12,9754.5342836627,2650.5566142376206,2202.995069896764,2070.2352396582924,2830.747359870024,0.2717255931610065,0.22584318285563174,0.2122331194350927,0.2901981045482691
2025-02-13,9512.712626426068,2616.382656892006,2152.79297428108,2043.6182300214618,2699.918765231519,0.2750406492490652,0.22630694932386347,0.21483022879765584,0.2838221726294154
2025-02-14,9610.896111254859,2640.549387563469,2193.0833740957187,2097.693893868619,2679.5694557270513,0.2747453886710156,0.2281871896968592,0.21826205065437243,0.27880537097775265
2025-02-15,9544.7913054303,2642.422949689847,2166.606595783024,2046.0379581702646,2689.723801787165,0.27684449718523424,0.22699360587909143,0.21436172805645481,0.28180016887921955
2025-02-16,9458.932762666958,2603.1117272422866,2141.1596040470613,1980.70529815259,2733.95613322502,0.27520141992301633,0.226363761934952,0.2094005050939941,0.2890343130480375
2025-02-17,9380.565347375545,2593.954617872949,2207.6451999073192,1867.71451416067,2711.251015434606,0.27652433748022176,0.23534244666020743,0.19910468559160044,0.2890285302679703
2025-02-18,9154.772459821159,2591.022674597412,2149.671433720361,1781.34073980558,2632.737611697806,0.2830242571258869,0.23481429420063987,0.19458055867839438,0.28758088999507886
2025-02-19,9233.136359265607,2617.363853131362,2184.6761321216177,1777.2377225097841,2653.8586515028433,0.2834750567183808,0.23661257097424523,0.19248472602988217,0.2874276462774918
2025-02-20,9382.728463536321,2662.337739716018,2202.8100301212576,1851.6180616925471,2665.9626320064986,0.2837487784137143,0.2347728636379002,0.19734324284118504,0.28413511510720046
2025-02-21,9154.476708428916,2604.841210870365,2142.4387920603453,1777.342928081471,2629.8537774167344,0.28454288473659856,0.23403181419290858,0.19415013929141312,0.28727516177907975
2025-02-22,9363.732031099787,2614.83543798076,2223.0678629354065,1810.272272019526,2715.5564581640942,0.27925141698802364,0.23741258886434655,0.19332807325188975,0.29000792089574
2025-02-23,9316.55135127914,2606.90001678027,2268.4991504260743,1766.8223709127635,2674.3298131600322,0.2798138408180779,0.24349129467467753,0.18964338887802976,0.2870514756292148
2025-02-24,8488.292940192576,2479.4739596530376,2022.1790283963649,1491.9202120944324,2494.7197400487407,0.2921051355229012,0.2382315316688973,0.1757621022985789,0.29390123050962264
2025-02-25,8460.408011513506,2401.6802369473817,2007.8424683984244,1518.4320161595758,2532.4532900081235,0.28387286212189883,0.23732217945825002,0.17947503407556575,0.29932992434428535
2025-02-26,8069.034040176086,2281.696700894879,1879.658175218186,1423.6417960695196,2484.0373679935014,0.2827719761168695,0.2329471118673292,0.1764327413890117,0.30784817062678965
2025-02-27,8058.209747345584,2294.113721700356,1856.6086553561772,1448.47031098767,2459.017059301381,0.28469272873618723,0.23039964378784675,0.1797508821937532,0.3051567452822128
2025-02-28,8032.111171509916,2284.400880980436,1800.1876142419485,1558.9361612591003,2388.586515028432,0.28440852376187953,0.2241238418894469,0.19408797114122162,0.29737966320745207
2025-03-01,8095.408313005109,2330.8361351906965,1783.936294827897,1511.3832428565415,2469.252640129975,0.287920762618762,0.22036396755455057,0.18669635729534914,0.3050189125313384
2025-03-02,8993.341779507122,2553.0601568895686,2025.8717786988648,1880.128771619745,2534.281072298944,0.2838833683277951,0.22526351476101603,0.20905785832625,0.28179525858493887
2025-03-03,7899.556238250587,2335.0631600054558,1728.9231650490437,1495.6024071034801,2339.9675060926074,0.2955942194194154,0.2188633276230623,0.189327395361982,0.29621505759554034
2025-03-04,8006.199844591001,2363.807632888853,1747.0248822181604,1523.271472457181,2372.095857026807,0.2952471433105488,0.21820900253925746,0.19026148510223675,0.296282369047957
2025-03-05,8226.077619107775,2453.8304243740085,1803.405697294236,1538.9471026385556,2429.8943948009746,0.29829896312602,0.21923032832868392,0.1870815197590458,0.29538918878625026
2025-03-06,8137.817262602722,2435.5736203752563,1771.7156244368355,1507.701047847494,2422.8269699431357,0.29929077316197755,0.21771386199328183,0.1852709392696888,0.2977244255750518
2025-03-07,7956.024132585291,2350.8018401749137,1722.9616661946811,1466.4604637461598,2415.8001624695366,0.29547444816648966,0.21656063851515855,0.18432076616510173,0.30364414715325005
2025-03-08,7958.377451742413,2335.1129916665213,1772.8258630898747,1441.4215376846357,2409.017059301381,0.29341571266581107,0.22276222431517506,0.1811200268427894,0.3027020361762245
2025-03-09,7395.743178686835,2186.4824794587935,1625.4617949180033,1330.9556874132054,2252.8432168968316,0.29564067148245926,0.21978342887869387,0.17996239935004418,0.3046135002888025
2025-03-10,7032.643798260497,2128.566443857755,1500.5116752053136,1244.7923242014895,2158.773354995938,0.3026694519043108,0.21336381000505963,0.1770020435997889,0.3069646944908406
2025-03-11,7352.713184096598,2246.026439596065,1547.439371315295,1318.7518410975044,2240.4955320877334,0.30546906745309504,0.21045828017095752,0.1793558116682522,0.3047168407076952
2025-03-12,7448.222875913278,2266.260531407,1535.1865200937107,1332.1129487017631,2314.662875710804,0.3042686247662961,0.20611447128661156,0.1788497700585287,0.31076713388856364
2025-03-13,7349.83043276559,2196.8119869844036,1500.101369616147,1297.9211379034634,2354.9959382615757,0.29889288019367116,0.2041001331035728,0.17659198396160583,0.3204150027411502
2025-03-14,7604.673369774635,2274.468672622128,1537.9621167263085,1404.9152043092201,2387.327376116978,0.2990882792760279,0.20223907615007614,0.18474366169271184,0.3139289828811841
