strategy_name,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
BollingerBreakout,30d,30,0.005314495210013047,0.41728741221176097,0.0548960653268058,0.2857142857142857,7,1.0686102257315688,10053.14495210013,-0.03172261238795142,0.03703710759796446,True
BollingerBreakout,90d,90,-0.14502894557331583,-2.8179892975458323,0.19993691453335183,0.2608695652173913,23,0.435401785822619,8549.710544266842,-0.06572224413093859,-0.07930670144237724,False
BollingerBreakout,180d,180,-0.06361476504761177,-0.428609830549889,0.2390133037548846,0.30434782608695654,46,0.8729218630361092,9363.852349523882,0.30865427637442866,-0.3722690414220404,False
Ichimoku_Cloud,30d,30,-0.04527153277986363,-1.6534533292826588,0.12400939345223005,0.0,1,0.0,9547.284672201364,-0.03172261238795142,-0.01354892039191221,False
Ichimoku_Cloud,90d,90,-0.07138360731289886,-0.8058651785536903,0.1327332905227333,0.0,1,0.0,9286.163926871011,-0.06572224413093859,-0.005661363181960269,False
Ichimoku_Cloud,180d,180,0.3093893082444321,1.8254426654930347,0.1327332905227282,1.0,1,0.0,13093.893082444321,0.30865427637442866,0.0007350318700034553,True
MACD_Momentum,30d,30,-0.10227224615894356,-6.32998168923983,0.1022722461589447,0.2692307692307692,26,0.39538541446743597,8977.277538410564,-0.03172261238795142,-0.07054963377099215,False
MACD_Momentum,90d,90,-0.31917878863945326,-6.84560729648899,0.32001452414763476,0.23529411764705882,85,0.29572017921894095,6808.2121136054675,-0.06572224413093859,-0.2534565445085147,False
MACD_Momentum,180d,180,-0.3805465755182458,-3.95228363062215,0.42857793756568796,0.2634730538922156,167,0.5693503448883728,6194.5342448175425,0.30865427637442866,-0.6892008518926744,False
RSI_MeanReversion,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,-0.03172261238795142,-0.1031556626655351,False
RSI_MeanReversion,90d,90,-0.15058782510172897,-2.3958023155033157,0.17706777295982412,0.16666666666666666,6,0.0824515150394994,8494.12174898271,-0.06572224413093859,-0.08486558097079037,False
RSI_MeanReversion,180d,180,-0.024726666475622005,-0.09955537653621219,0.17706777295982157,0.5333333333333333,15,0.8850612365785024,9752.73333524378,0.30865427637442866,-0.33338094285005065,False
SMA_Crossover,30d,30,0.05452870207808919,3.311071394077521,0.049133814951975,1.0,1,0.0,10545.287020780892,-0.03172261238795142,0.08625131446604062,True
SMA_Crossover,90d,90,0.01021271595925773,0.3049080805816096,0.0909376903141016,0.2857142857142857,7,1.1402102867975017,10102.127159592577,-0.06572224413093859,0.07593496009019632,True
SMA_Crossover,180d,180,0.16598155165173958,1.4611815526628895,0.12850968402208995,0.46153846153846156,13,2.7871089928566715,11659.815516517396,0.30865427637442866,-0.14267272472268908,False
Supertrend_ATR,30d,30,-0.031189260198855116,-1.8441562693365856,0.0814910540522421,0.2222222222222222,9,0.7439695684061901,9688.107398011449,-0.03172261238795142,0.0005333521890963019,True
Supertrend_ATR,90d,90,-0.17033840167676698,-3.5728139146186906,0.2005717725304298,0.2413793103448276,29,0.3974593477034083,8296.61598323233,-0.06572224413093859,-0.10461615754582838,False
Supertrend_ATR,180d,180,-0.004013497123630623,0.08990069777071587,0.21240341138566632,0.3148148148148148,54,0.9928303406085444,9959.865028763694,0.30865427637442866,-0.3126677734980593,False
TripleEMA,30d,30,0.05861137143165415,3.585518758497708,0.040598064393968625,0.3333333333333333,3,3.739943688164852,10586.113714316542,-0.03172261238795142,0.09033398381960557,True
TripleEMA,90d,90,-0.07665749512555503,-1.5063018339515293,0.15372200001509428,0.2,15,0.5641997575531518,9233.42504874445,-0.06572224413093859,-0.010935250994616438,False
TripleEMA,180d,180,0.0012115019471058985,0.12832798667925033,0.19684016507669755,0.28125,32,1.003494690728633,10012.115019471059,0.30865427637442866,-0.30744277442732276,False
VWAP_MeanReversion,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,-0.03172261238795142,-0.1031556626655351,False
VWAP_MeanReversion,90d,90,-0.14125791603304477,-2.2324517552268652,0.1706456095786808,0.16666666666666666,6,0.10589391796388034,8587.420839669552,-0.06572224413093859,-0.07553567190210618,False
VWAP_MeanReversion,180d,180,-0.01920263479825153,-0.04508187494478548,0.17064560957868213,0.5,14,0.9007514943967987,9807.973652017485,0.30865427637442866,-0.3278569111726802,False
