strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,symbols,num_assets,buyhold_return,outperformance,beat_buyhold
BlackLitterman,multi_pair,Portfolio[2 assets],30d,30,-0.08359124602528537,-2.345198009403065,0.16418618255248582,0.0,0,0.0,9164.087539747146,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.05186863363733395,False
BlackLitterman,multi_pair,Portfolio[3 assets],30d,30,0.03194798877897592,1.0584409302959343,0.1683749078627151,0.0,0,0.0,10319.47988778976,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06367060116692734,True
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005314495210013047,0.41728741221176097,0.0548960653268058,0.2857142857142857,7,1.0686102257315688,10053.14495210013,,,-0.03172261238795142,0.03703710759796446,True
CopulaPairsTrading,multi_pair,Portfolio[2 assets],30d,30,-0.29849410714896274,-28.704755121225293,0.29849410714896274,0.0,0,0.0,7015.058928510372,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.2667714947610113,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],30d,30,-0.29849410714896274,-28.704755121225293,0.29849410714896274,0.0,0,0.0,7015.058928510372,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,-0.2667714947610113,False
DeepRLPortfolio,multi_pair,Portfolio[2 assets],30d,30,0.003949514999060375,0.3114547909420654,0.12435634987298007,0.0,0,0.0,10039.495149990604,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,0.035672127387011796,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],30d,30,-0.026469124945954173,-0.771144665914137,0.14495302589580158,0.0,0,0.0,9735.308750540458,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.0052534874419972455,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.0386325845981275,-1.1705050514486384,0.14618387996301996,0.0,0,0.0,9613.674154018725,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.006909972210176085,False
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],30d,30,0.02217815068840828,0.8731313650884663,0.15234806940654616,0.0,0,0.0,10221.781506884083,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.0539007630763597,True
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04527153277986363,-1.6534533292826588,0.12400939345223005,0.0,1,0.0,9547.284672201364,,,-0.03172261238795142,-0.01354892039191221,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.10227224615894356,-6.32998168923983,0.1022722461589447,0.2692307692307692,26,0.39538541446743597,8977.277538410564,,,-0.03172261238795142,-0.07054963377099215,False
PortfolioRebalancer,multi_pair,Portfolio[2 assets],30d,30,-0.07750117882159356,-2.2030078350275035,0.16247969555433103,0.0,6,0.0,9224.988211784064,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04577856643364214,False
PortfolioRebalancer,multi_pair,Portfolio[3 assets],30d,30,0.033344830638243,1.086791180822259,0.16870567385949137,0.0,6,0.0,10333.44830638243,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06506744302619441,True
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,,,-0.03172261238795142,-0.1031556626655351,False
RiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.07259751943563988,-2.036950395409253,0.1608906558842434,0.0,0,0.0,9274.024805643601,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.040874907047688466,False
RiskParity,multi_pair,Portfolio[3 assets],30d,30,0.025646526257211373,0.9058423275072252,0.16644035248678357,0.0,0,0.0,10256.465262572114,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.05736913864516279,True
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.05452870207808919,3.311071394077521,0.049133814951975,1.0,1,0.0,10545.287020780892,,,-0.03172261238795142,0.08625131446604062,True
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.031189260198855116,-1.8441562693365856,0.0814910540522421,0.2222222222222222,9,0.7439695684061901,9688.107398011449,,,-0.03172261238795142,0.0005333521890963019,True
TripleEMA,single_pair,BTC/USDT,30d,30,0.05861137143165415,3.585518758497708,0.040598064393968625,0.3333333333333333,3,3.739943688164852,10586.113714316542,,,-0.03172261238795142,0.09033398381960557,True
VWAP_MeanReversion,single_pair,BTC/USDT,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,,,-0.03172261238795142,-0.1031556626655351,False
