strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,symbols,num_assets,buyhold_return,outperformance,beat_buyhold
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005314495210013047,0.41728741221176097,0.0548960653268058,0.2857142857142857,7,1.0686102257315688,10053.14495210013,,,-0.03172261238795142,0.03703710759796446,True
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04527153277986363,-1.6534533292826588,0.12400939345223005,0.0,1,0.0,9547.284672201364,,,-0.03172261238795142,-0.01354892039191221,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.10227224615894356,-6.32998168923983,0.1022722461589447,0.2692307692307692,26,0.39538541446743597,8977.277538410564,,,-0.03172261238795142,-0.07054963377099215,False
PortfolioRebalancer,multi_pair,Portfolio[3 assets],30d,30,0.033344830638243,1.086791180822259,0.16870567385949137,0.0,6,0.0,10333.44830638243,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06506744302619441,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],30d,30,-0.07750117882159356,-2.2030078350275035,0.16247969555433103,0.0,6,0.0,9224.988211784064,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04577856643364214,False
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,,,-0.03172261238795142,-0.1031556626655351,False
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.05452870207808919,3.311071394077521,0.049133814951975,1.0,1,0.0,10545.287020780892,,,-0.03172261238795142,0.08625131446604062,True
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.031189260198855116,-1.8441562693365856,0.0814910540522421,0.2222222222222222,9,0.7439695684061901,9688.107398011449,,,-0.03172261238795142,0.0005333521890963019,True
TripleEMA,single_pair,BTC/USDT,30d,30,0.05861137143165415,3.585518758497708,0.040598064393968625,0.3333333333333333,3,3.739943688164852,10586.113714316542,,,-0.03172261238795142,0.09033398381960557,True
VWAP_MeanReversion,single_pair,BTC/USDT,30d,30,-0.1348782750534865,-7.274875367847968,0.1408334824186107,0.0,2,0.0,8651.217249465135,,,-0.03172261238795142,-0.1031556626655351,False
