strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
HierarchicalRiskParity,PORTFOLIO,1h,30d,0,train,2024-10-25 13:00:00,2024-11-24 13:00:00,0.3994865465447037,0.08870959659513446,0.0787975471140201,1.0,1,0.0,13994.865465447037,2025-10-25T12:30:41.309882
HierarchicalRiskParity,PORTFOLIO,1h,30d,1,train,2024-11-24 13:00:00,2024-12-24 13:00:00,-0.012448459132038443,-0.0002529921959278346,0.1370087134346315,0.0,1,0.0,9875.515408679616,2025-10-25T12:30:41.324140
HierarchicalRiskParity,PORTFOLIO,1h,30d,2,train,2024-12-24 13:00:00,2025-01-23 13:00:00,0.06202826668771067,0.018043202336307566,0.10720939819592668,1.0,1,0.0,10620.282666877107,2025-10-25T12:30:44.553010
HierarchicalRiskParity,PORTFOLIO,1h,30d,3,train,2025-01-23 13:00:00,2025-02-22 13:00:00,-0.05644576165466024,-0.01484962063748328,0.12222146451900928,0.0,1,0.0,9435.542383453398,2025-10-25T12:30:47.515419
HierarchicalRiskParity,PORTFOLIO,1h,30d,4,train,2025-02-22 13:00:00,2025-03-24 13:00:00,-0.0884713258161024,-0.01524487927541502,0.18676725269455385,0.0,1,0.0,9115.286741838976,2025-10-25T12:30:50.331899
HierarchicalRiskParity,PORTFOLIO,1h,30d,5,train,2025-03-24 13:00:00,2025-04-23 13:00:00,0.05606981295015721,0.01683684997960343,0.1466834414373258,1.0,1,0.0,10560.698129501572,2025-10-25T12:30:53.160351
HierarchicalRiskParity,PORTFOLIO,1h,30d,6,train,2025-04-23 13:00:00,2025-05-23 13:00:00,0.16800630779345793,0.05839773250883741,0.04024761547788047,1.0,1,0.0,11680.06307793458,2025-10-25T12:30:55.907977
HierarchicalRiskParity,PORTFOLIO,1h,30d,7,train,2025-05-23 13:00:00,2025-06-22 13:00:00,-0.07729676042130086,-0.03295702537077728,0.08403097974937035,0.0,1,0.0,9227.032395786991,2025-10-25T12:30:58.581106
HierarchicalRiskParity,PORTFOLIO,1h,30d,8,train,2025-06-22 13:00:00,2025-07-22 13:00:00,0.16110426052848142,0.06433126304053517,0.05253968642061213,1.0,1,0.0,11611.042605284814,2025-10-25T12:31:01.391041
HierarchicalRiskParity,PORTFOLIO,1h,30d,0,test,2025-07-26 07:00:00,2025-08-25 07:00:00,-0.04826749372144987,-0.020593452872475004,0.09487182844811182,0.0,1,0.0,9517.325062785501,2025-10-25T12:31:05.125668
HierarchicalRiskParity,PORTFOLIO,1h,30d,1,test,2025-08-25 07:00:00,2025-09-24 07:00:00,0.007695578846342323,0.005069813495555584,0.04985965918972457,1.0,1,0.0,10076.955788463423,2025-10-25T12:31:07.496326
HierarchicalRiskParity,PORTFOLIO,1h,90d,0,train,2024-10-25 13:00:00,2025-01-23 13:00:00,0.4730215741103111,0.03499608856124497,0.15668103856562388,1.0,1,0.0,14730.215741103111,2025-10-25T12:31:24.978354
HierarchicalRiskParity,PORTFOLIO,1h,90d,1,train,2025-01-23 13:00:00,2025-04-23 13:00:00,-0.0892561977248526,-0.0047686460420408965,0.28292420373396887,0.0,1,0.0,9107.438022751474,2025-10-25T12:31:27.328033
HierarchicalRiskParity,PORTFOLIO,1h,90d,2,train,2025-04-23 13:00:00,2025-07-22 13:00:00,0.25481616327092343,0.03197991366124746,0.11053787506985913,1.0,1,0.0,12548.161632709234,2025-10-25T12:31:44.306374
BlackLitterman,PORTFOLIO,1h,30d,0,train,2024-10-25 13:00:00,2024-11-24 13:00:00,0.3994865465447037,0.08870959659513446,0.0787975471140201,1.0,1,0.0,13994.865465447037,2025-10-25T12:31:44.316296
BlackLitterman,PORTFOLIO,1h,30d,1,train,2024-11-24 13:00:00,2024-12-24 13:00:00,-0.012448459132038443,-0.0002529921959278346,0.1370087134346315,0.0,1,0.0,9875.515408679616,2025-10-25T12:31:44.325374
BlackLitterman,PORTFOLIO,1h,30d,2,train,2024-12-24 13:00:00,2025-01-23 13:00:00,0.06202826668771067,0.018043202336307566,0.10720939819592668,1.0,1,0.0,10620.282666877107,2025-10-25T12:31:44.334001
BlackLitterman,PORTFOLIO,1h,30d,3,train,2025-01-23 13:00:00,2025-02-22 13:00:00,-0.05644576165466024,-0.01484962063748328,0.12222146451900928,0.0,1,0.0,9435.542383453398,2025-10-25T12:31:44.343071
