strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,symbols,num_assets,buyhold_return,outperformance,beat_buyhold
BlackLitterman,multi_pair,Portfolio[2 assets],30d,30,-0.07709060250468593,-1.3698035673197142,0.1639068226857317,0.5102611940298507,0,0.0,9229.09397495314,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04536799011673451,False
BlackLitterman,multi_pair,Portfolio[3 assets],30d,30,0.041712198875595276,0.9905564198634909,0.16768960304029512,0.5251865671641791,0,0.0,10417.121988755953,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.0734348112635467,True
BlackLitterman,multi_pair,Portfolio[2 assets],90d,90,0.24042182726981992,1.52195775630356,0.17353819636868698,0.5151608910891089,0,0.0,12404.2182726982,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.3061440714007585,True
BlackLitterman,multi_pair,Portfolio[3 assets],90d,90,0.372753688002166,2.2140074734730977,0.16821367184866026,0.5244430693069307,0,0.0,13727.53688002166,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.4384759321331046,True
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005182395261700549,0.4203129819554057,0.05220881422317336,0.2857142857142857,7,1.0704299003887592,10051.823952617005,,,-0.03172261238795142,0.03690500764965197,True
BollingerBreakout,single_pair,BTC/USDT,90d,90,-0.13807884379360638,-2.8164618538564876,0.19084816534720672,0.2608695652173913,23,0.43702313386483244,8619.211562063936,,,-0.06572224413093859,-0.07235659966266779,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],30d,30,-0.17712198972180723,-10.983194172064458,0.18260662311093936,0.20335820895522388,0,0.0,8228.780102781928,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.14539937733385583,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],30d,30,-0.17712198972180723,-10.983194172064458,0.18260662311093936,0.20335820895522388,0,0.0,8228.780102781928,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,-0.14539937733385583,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],90d,90,-0.21849956181527613,-4.156145265697165,0.24690797076911958,0.21936881188118812,0,0.0,7815.004381847239,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,-0.15277731768433755,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],90d,90,-0.21849956181527613,-4.156145265697165,0.24690797076911958,0.21936881188118812,0,0.0,7815.004381847239,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,-0.15277731768433755,False
DDQNFeatureSelected,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
DDQNFeatureSelected,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
DeepRLPortfolio,multi_pair,Portfolio[2 assets],30d,30,0.00010090176517132932,0.1645456333430565,0.12446177831866936,0.5018656716417911,0,0.0,10001.009017651713,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,0.03182351415312275,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],30d,30,-0.019842330054088596,-0.333992663753367,0.1464338386823006,0.5205223880597015,0,0.0,9801.576699459114,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.011880282333862822,True
DeepRLPortfolio,multi_pair,Portfolio[2 assets],90d,90,0.040596465218527555,0.49472425572787593,0.13251129241342655,0.505259900990099,0,0.0,10405.964652185276,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.10631870934946615,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],90d,90,0.06468352144615347,0.6950288612716969,0.14445089713399276,0.5213490099009901,0,0.0,10646.835214461535,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.13040576557709205,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.04573568807242536,-0.8739943693563101,0.14810009469978097,0.5149253731343284,0,0.0,9542.643119275746,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.014013075684473943,False
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],30d,30,0.029485899474849246,0.8313536968719916,0.1537683490573091,0.5270522388059702,0,0.0,10294.858994748492,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.061208511862800664,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],90d,90,0.12801373095137733,1.074642999950064,0.14752038668722117,0.5154702970297029,0,0.0,11280.137309513773,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.19373597508231594,True
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],90d,90,0.16602150470053292,1.3641607644307334,0.14976447707589086,0.5204207920792079,0,0.0,11660.21504700533,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.23174374883147153,True
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04300795614087037,-1.658741723550218,0.1182737086303236,0.0,1,0.0,9569.920438591296,,,-0.03172261238795142,-0.011285343752918953,False
Ichimoku_Cloud,single_pair,BTC/USDT,90d,90,-0.06781442694725393,-0.8138202215532785,0.12632488229727545,0.0,1,0.0,9321.85573052746,,,-0.06572224413093859,-0.0020921828163153328,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.09733806262070376,-6.329389096168726,0.09733806262070288,0.2692307692307692,26,0.3955906114263855,9026.619373792963,,,-0.03172261238795142,-0.06561545023275234,False
MACD_Momentum,single_pair,BTC/USDT,90d,90,-0.30581190147699083,-6.846266349079704,0.30663268505071417,0.23529411764705882,85,0.2961260874490411,6941.880985230092,,,-0.06572224413093859,-0.24008965734605225,False
MultiModalSentimentFusion,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
MultiModalSentimentFusion,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
MultiTimeframeConfluence,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
MultiTimeframeConfluence,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
OnChainAnalytics,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
OnChainAnalytics,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
OrderFlowImbalance,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
OrderFlowImbalance,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],30d,30,-0.07750117882159356,-2.2030078350275035,0.16247969555433103,0.5042134831460674,0,0.0,9224.988211784064,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04577856643364214,False
PortfolioRebalancer,multi_pair,Portfolio[3 assets],30d,30,0.033344830638243,1.086791180822259,0.16870567385949137,0.5168539325842697,0,0.0,10333.44830638243,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06506744302619441,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],90d,90,0.13031370349652807,1.3241890185950869,0.1629699518574619,0.5116171003717472,1,0.0,11303.13703496528,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.19603594762746668,True
PortfolioRebalancer,multi_pair,Portfolio[3 assets],90d,90,0.2948008436880721,2.4917965610740214,0.16793004126106312,0.5315985130111525,1,0.0,12948.008436880718,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.36052308781901066,True
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,,,-0.03172261238795142,-0.09662173775324957,False
RSI_MeanReversion,single_pair,BTC/USDT,90d,90,-0.14336687309083682,-2.4003380184183434,0.1687545833520394,0.16666666666666666,6,0.08228872586369836,8566.331269091632,,,-0.06572224413093859,-0.07764462895989822,False
RiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.07424353774826632,-1.322035977602978,0.16148680269523594,0.5102611940298507,0,0.0,9257.564622517337,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.042520925360314904,False
RiskParity,multi_pair,Portfolio[3 assets],30d,30,0.035776872478942456,0.8850056092350215,0.16642212749442514,0.5261194029850746,0,0.0,10357.768724789425,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06749948486689387,True
RiskParity,multi_pair,Portfolio[2 assets],90d,90,0.265574574849003,1.6506350589293604,0.16731488931884786,0.5136138613861386,0,0.0,12655.74574849003,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.33129681897994157,True
RiskParity,multi_pair,Portfolio[3 assets],90d,90,0.38718080997354976,2.3030140635382788,0.16340278850249523,0.525680693069307,0,0.0,13871.808099735497,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.45290305410448833,True
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.051802266974184746,3.302064575347981,0.04688891452566313,1.0,1,0.0,10518.022669741847,,,-0.03172261238795142,0.08352487936213616,True
SMA_Crossover,single_pair,BTC/USDT,90d,90,0.009827154902657094,0.302378983092925,0.0865530678603702,0.2857142857142857,7,1.141820008711847,10098.271549026571,,,-0.06572224413093859,0.07554939903359568,True
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,,,-0.03172261238795142,0.0022469340274683114,True
Supertrend_ATR,single_pair,BTC/USDT,90d,90,-0.16232741225263417,-3.570740425072415,0.19148502368256726,0.2413793103448276,29,0.3988005727099663,8376.725877473658,,,-0.06572224413093859,-0.09660516812169558,False
TransformerGRUPredictor,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.03172261238795142,0.03172261238795142,True
TransformerGRUPredictor,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
TripleEMA,single_pair,BTC/USDT,30d,30,0.055758015616953344,3.581334820021354,0.038783256423860824,0.3333333333333333,3,3.743009890160314,10557.580156169533,,,-0.03172261238795142,0.08748062800490476,True
TripleEMA,single_pair,BTC/USDT,90d,90,-0.07272021021785222,-1.5036841505203502,0.14652240833567276,0.2,15,0.5664892452130862,9272.797897821478,,,-0.06572224413093859,-0.006997966086913623,False
VWAP_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,,,-0.03172261238795142,-0.09662173775324957,False
VWAP_MeanReversion,single_pair,BTC/USDT,90d,90,-0.13443676340296698,-2.2366918446400113,0.16260269107232683,0.16666666666666666,6,0.10572363196596053,8655.63236597033,,,-0.06572224413093859,-0.06871451927202839,False
VolatilityRegimeAdaptive,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,,,-0.03172261238795142,0.0022469340274683114,True
VolatilityRegimeAdaptive,single_pair,BTC/USDT,90d,90,0.0,inf,0.0,0.0,0,0.0,10000.0,,,-0.06572224413093859,0.06572224413093859,True
