strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
BlackLitterman,PORTFOLIO,1h,30d,4,test,2024-02-23 13:00:00,2024-03-24 13:00:00,0.26423783651097477,0.049846067234570315,0.1577033166772812,1.0,1,0.0,12642.378365109747,2025-10-25T12:45:36.328867
BlackLitterman,PORTFOLIO,1h,30d,5,test,2024-03-24 13:00:00,2024-04-23 13:00:00,0.015290249843472884,0.006519842292473953,0.16096512015140962,1.0,1,0.0,10152.902498434729,2025-10-25T12:45:36.336758
BlackLitterman,PORTFOLIO,1h,30d,6,test,2024-04-23 13:00:00,2024-05-23 13:00:00,0.020353081344252677,0.008045769823421593,0.14354648887692134,1.0,1,0.0,10203.530813442527,2025-10-25T12:45:36.345332
BlackLitterman,PORTFOLIO,1h,30d,7,test,2024-05-23 13:00:00,2024-06-22 13:00:00,-0.05373660149205498,-0.020028791900604352,0.10738725893383239,0.0,1,0.0,9462.63398507945,2025-10-25T12:45:36.353346
BlackLitterman,PORTFOLIO,1h,30d,8,test,2024-06-22 13:00:00,2024-07-22 13:00:00,0.040100130375055595,0.013459649061119369,0.15562227360728664,1.0,1,0.0,10401.001303750556,2025-10-25T12:45:36.361826
BlackLitterman,PORTFOLIO,1h,30d,9,test,2024-07-22 13:00:00,2024-08-21 13:00:00,-0.10278693666482668,-0.018467760277621925,0.27265379045139115,0.0,1,0.0,8972.130633351733,2025-10-25T12:45:36.369814
BlackLitterman,PORTFOLIO,1h,30d,10,test,2024-08-21 13:00:00,2024-09-20 13:00:00,0.04461352620315793,0.014762956863808628,0.1714055979949387,1.0,1,0.0,10446.13526203158,2025-10-25T12:45:36.378501
BlackLitterman,PORTFOLIO,1h,30d,11,test,2024-09-20 13:00:00,2024-10-20 13:00:00,0.08334636122319207,0.02909107812917379,0.09769450476451147,1.0,1,0.0,10833.46361223192,2025-10-25T12:45:36.387267
BlackLitterman,PORTFOLIO,1h,30d,12,test,2024-10-20 13:00:00,2024-11-19 13:00:00,0.31301100135147425,0.07346699862359278,0.0787911717903167,1.0,1,0.0,13130.110013514743,2025-10-25T12:45:36.395231
BlackLitterman,PORTFOLIO,1h,30d,13,test,2024-11-19 13:00:00,2024-12-19 13:00:00,0.11108498808145013,0.030726501659885455,0.08331456816639482,1.0,1,0.0,11110.849880814501,2025-10-25T12:45:36.402988
