strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005182395261700549,0.4203129819554057,0.05220881422317336,0.2857142857142857,7,1.0704299003887592,10051.823952617005,-0.03172261238795142,0.03690500764965197,True
DDQNFeatureSelected,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04300795614087037,-1.658741723550218,0.1182737086303236,0.0,1,0.0,9569.920438591296,-0.03172261238795142,-0.011285343752918953,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.09733806262070376,-6.329389096168726,0.09733806262070288,0.2692307692307692,26,0.3955906114263855,9026.619373792963,-0.03172261238795142,-0.06561545023275234,False
MultiModalSentimentFusion,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
MultiTimeframeConfluence,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
OnChainAnalytics,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
OrderFlowImbalance,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,-0.03172261238795142,-0.09662173775324957,False
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.051802266974184746,3.302064575347981,0.04688891452566313,1.0,1,0.0,10518.022669741847,-0.03172261238795142,0.08352487936213616,True
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,-0.03172261238795142,0.0022469340274683114,True
TransformerGRUPredictor,single_pair,BTC/USDT,30d,30,0.0,inf,0.0,0.0,0,0.0,10000.0,-0.03172261238795142,0.03172261238795142,True
TripleEMA,single_pair,BTC/USDT,30d,30,0.055758015616953344,3.581334820021354,0.038783256423860824,0.3333333333333333,3,3.743009890160314,10557.580156169533,-0.03172261238795142,0.08748062800490476,True
VWAP_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,-0.03172261238795142,-0.09662173775324957,False
VolatilityRegimeAdaptive,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,-0.03172261238795142,0.0022469340274683114,True
