timestamp,total_value,max_deviation,weights_before
2020-08-28 19:00:00,10623.890150006911,0.05029874733490933,"{'BTC/USDT': np.float64(0.36838302705158166), 'ETH/USDT': np.float64(0.28537354818135463), 'SOL/USDT': np.float64(0.20029874733490932), 'BNB/USDT': np.float64(0.14594467743215445)}"
2020-09-13 01:00:00,10266.482199069858,0.05311287598742695,"{'BTC/USDT': np.float64(0.3751830921056506), 'ETH/USDT': np.float64(0.3010586312319911), 'SOL/USDT': np.float64(0.12064540067493147), 'BNB/USDT': np.float64(0.20311287598742694)}"
2020-10-08 06:00:00,9269.577688541476,0.051613501935896644,"{'BTC/USDT': np.float64(0.45161350193589667), 'ETH/USDT': np.float64(0.2932975909847018), 'SOL/USDT': np.float64(0.10520562406810127), 'BNB/USDT': np.float64(0.14988328301130022)}"
2020-10-28 02:00:00,10896.514211210808,0.05024625790415285,"{'BTC/USDT': np.float64(0.44327612603015354), 'ETH/USDT': np.float64(0.30724453786743194), 'SOL/USDT': np.float64(0.09975374209584714), 'BNB/USDT': np.float64(0.14972559400656735)}"
2020-12-17 05:00:00,15511.714249442579,0.052342293147736696,"{'BTC/USDT': np.float64(0.4523422931477367), 'ETH/USDT': np.float64(0.3345361758079061), 'SOL/USDT': np.float64(0.11140064405123275), 'BNB/USDT': np.float64(0.10172088699312437)}"
2020-12-26 21:00:00,16499.667675317098,0.050688301586743034,"{'BTC/USDT': np.float64(0.45068830158674306), 'ETH/USDT': np.float64(0.28188010103304023), 'SOL/USDT': np.float64(0.11171030349216746), 'BNB/USDT': np.float64(0.1557212938880492)}"
2021-01-04 05:00:00,23656.56676768855,0.05716696696156093,"{'BTC/USDT': np.float64(0.3428330330384391), 'ETH/USDT': np.float64(0.35041294377645105), 'SOL/USDT': np.float64(0.1768530135023467), 'BNB/USDT': np.float64(0.12990100968276333)}"
2021-01-12 04:00:00,25892.77965569191,0.05453758421574645,"{'BTC/USDT': np.float64(0.39301574083502455), 'ETH/USDT': np.float64(0.27704603702942754), 'SOL/USDT': np.float64(0.20453758421574644), 'BNB/USDT': np.float64(0.12540063791980138)}"
2021-01-24 08:00:00,27466.472545323864,0.0513125967189173,"{'BTC/USDT': np.float64(0.3486874032810827), 'ETH/USDT': np.float64(0.3419637757686524), 'SOL/USDT': np.float64(0.15508025369366563), 'BNB/USDT': np.float64(0.15426856725659907)}"
2021-02-04 23:00:00,34927.75786932682,0.05247681676098376,"{'BTC/USDT': np.float64(0.35606257689747134), 'ETH/USDT': np.float64(0.28408899836870377), 'SOL/USDT': np.float64(0.20247681676098375), 'BNB/USDT': np.float64(0.15737160797284103)}"
2021-02-09 11:00:00,44256.811444206825,0.05009654092473345,"{'BTC/USDT': np.float64(0.3963987852663307), 'ETH/USDT': np.float64(0.2601655348825721), 'SOL/USDT': np.float64(0.14333913892636382), 'BNB/USDT': np.float64(0.20009654092473345)}"
2021-02-10 17:00:00,46424.48708367072,0.05023768981552368,"{'BTC/USDT': np.float64(0.3696680478111434), 'ETH/USDT': np.float64(0.2833221825687006), 'SOL/USDT': np.float64(0.1467720798046323), 'BNB/USDT': np.float64(0.20023768981552367)}"
2021-02-19 01:00:00,55593.07070088487,0.05434527476748968,"{'BTC/USDT': np.float64(0.38129477056443145), 'ETH/USDT': np.float64(0.2764676845237947), 'SOL/USDT': np.float64(0.1378922701442841), 'BNB/USDT': np.float64(0.20434527476748968)}"
2021-02-22 19:00:00,61088.928240718466,0.05738288562800942,"{'BTC/USDT': np.float64(0.38001599346420617), 'ETH/USDT': np.float64(0.2487276803792202), 'SOL/USDT': np.float64(0.2073828856280094), 'BNB/USDT': np.float64(0.1638734405285641)}"
2021-02-24 19:00:00,59716.414330833984,0.05079514345845362,"{'BTC/USDT': np.float64(0.3738980113791134), 'ETH/USDT': np.float64(0.2810244604998362), 'SOL/USDT': np.float64(0.20079514345845362), 'BNB/USDT': np.float64(0.14428238466259677)}"
2021-04-09 02:00:00,80737.96094038307,0.05010411143793264,"{'BTC/USDT': np.float64(0.3498958885620674), 'ETH/USDT': np.float64(0.2878516961330696), 'SOL/USDT': np.float64(0.17523496314441434), 'BNB/USDT': np.float64(0.1870174521604488)}"
2021-04-12 20:00:00,88701.13342823104,0.05145335138425153,"{'BTC/USDT': np.float64(0.37758726787032165), 'ETH/USDT': np.float64(0.282668068001495), 'SOL/USDT': np.float64(0.1382913127439318), 'BNB/USDT': np.float64(0.20145335138425152)}"
2021-04-22 05:00:00,92735.24693064376,0.05303046075165996,"{'BTC/USDT': np.float64(0.34696953924834006), 'ETH/USDT': np.float64(0.33122383792861626), 'SOL/USDT': np.float64(0.188312365335133), 'BNB/USDT': np.float64(0.13349425748791058)}"
2021-04-25 22:00:00,89136.6133310974,0.052123388746616595,"{'BTC/USDT': np.float64(0.3720663231285018), 'ETH/USDT': np.float64(0.2869137025838952), 'SOL/USDT': np.float64(0.2021233887466166), 'BNB/USDT': np.float64(0.13889658554098647)}"
2021-05-03 21:00:00,111669.36509651317,0.05004242687691368,"{'BTC/USDT': np.float64(0.37451137466894113), 'ETH/USDT': np.float64(0.35004242687691367), 'SOL/USDT': np.float64(0.11527725693455819), 'BNB/USDT': np.float64(0.16016894151958713)}"
2021-05-10 17:00:00,118633.63579336669,0.05100881259457779,"{'BTC/USDT': np.float64(0.37569461952907496), 'ETH/USDT': np.float64(0.3510088125945778), 'SOL/USDT': np.float64(0.13428302189878757), 'BNB/USDT': np.float64(0.13901354597755963)}"
