event_time,sent.proxy_sentiment_score,sent.proxy_sentiment_vol,sent.proxy_fear_greed
2017-08-17 12:00:00+00:00,0.003346764095474649,4.162630951748279,0.004304913142331089
2017-08-17 13:00:00+00:00,0.004172209328527965,4.098929099031368,0.004285955454644929
2017-08-17 14:00:00+00:00,0.004204049795125693,3.956643978372092,0.004275717247205024
2017-08-17 15:00:00+00:00,-0.003396867890297084,0.5082855709730568,0.003423207787482568
2017-08-17 16:00:00+00:00,-0.003926467714724842,0.29137611590100654,0.002688240237261827
2017-08-17 17:00:00+00:00,-0.005190228635531646,0.31887300047906936,0.001972015794280602
2017-08-17 18:00:00+00:00,-0.005830524499952546,0.3174805179039912,0.0013218041030945062
2017-08-17 19:00:00+00:00,-0.0049716923207890895,0.3188263067824554,0.0008376889935649989
2017-08-17 20:00:00+00:00,-0.004584637759528738,0.17225350886802823,0.0004503799397725891
2017-08-17 21:00:00+00:00,-0.0006735921925553612,0.14931636502675058,0.0003754484642840591
2017-08-17 22:00:00+00:00,-0.00061905862381569,0.15155839765184576,0.0003132917712778248
2017-08-17 23:00:00+00:00,-0.00012096526554389309,0.2241471443385445,0.0002877472397000767
2017-08-18 00:00:00+00:00,0.0011893448622410745,0.20303991377674357,0.0003378359965079099
2017-08-18 01:00:00+00:00,-0.0031527061297103955,0.20175054113421773,0.00015412325302273592
2017-08-18 02:00:00+00:00,-0.0030389656554784352,0.2568063482770711,-5.531192402322637e-06
2017-08-18 03:00:00+00:00,-0.001564682252406376,0.2452742362550061,-7.977648097394423e-05
2017-08-18 04:00:00+00:00,-0.0018632389827836031,0.2620123069638402,-0.0001608429583289287
2017-08-18 05:00:00+00:00,0.0011209998691617724,0.21524099862318968,-0.00010511066148150691
2017-08-18 06:00:00+00:00,-0.000252947912548059,0.21503511250088395,-0.00011127054694261327
2017-08-18 07:00:00+00:00,0.0022263047966469274,0.2158208971096439,-0.0001508407476198554
2017-08-18 08:00:00+00:00,0.0006046763773536005,0.1621581526503934,-0.00025051823823326425
2017-08-18 09:00:00+00:00,0.00046971642540318453,0.2330118813584172,-0.0004900510481030298
2017-08-18 10:00:00+00:00,0.002663035532306753,0.22193611398158472,-0.0006200140075026879
2017-08-18 11:00:00+00:00,0.0010542984703041565,0.28224484056360893,-0.0007556323451299993
2017-08-18 12:00:00+00:00,0.002041611468017753,0.29493315703992967,-0.0008100137046073699
2017-08-18 13:00:00+00:00,-0.00025401139916938115,0.974766497982028,-0.0009944395682614262
2017-08-18 14:00:00+00:00,-0.0008828968539044876,0.988574808853157,-0.0012063956786376835
2017-08-18 15:00:00+00:00,-0.0025972742861183153,0.9984418973023932,-0.001173079278463568
2017-08-18 16:00:00+00:00,-0.0040879473669808335,0.998486820352261,-0.001179807597307568
2017-08-18 17:00:00+00:00,-0.005710531683147872,0.9240940139604652,-0.001201486890958244
2017-08-18 18:00:00+00:00,-0.008398565127395063,0.9647789140163809,-0.0013084885837683488
2017-08-18 19:00:00+00:00,-0.006148794166497292,0.7331439765542889,-0.0013575344940061906
2017-08-18 20:00:00+00:00,-0.009481521706162177,0.7905715450664771,-0.0015615713251159171
2017-08-18 21:00:00+00:00,-0.0104832894882572,0.7694630277644694,-0.001970308712436827
2017-08-18 22:00:00+00:00,-0.005224697941898615,0.8662771689462895,-0.0021622103506902823
2017-08-18 23:00:00+00:00,-0.00320794295505931,0.8719736416366299,-0.002290834421086758
2017-08-19 00:00:00+00:00,0.002046413557227881,0.7960672974940709,-0.0022551232254623076
2017-08-19 01:00:00+00:00,0.0006837272999281607,0.6196232201150784,-0.0020952718325607015
2017-08-19 02:00:00+00:00,0.0056401450865226814,0.5571359666105145,-0.0017336422183106548
2017-08-19 03:00:00+00:00,0.006807345476284514,0.5319063719399681,-0.001384807729615201
2017-08-19 04:00:00+00:00,-0.0018110306902732372,0.3075566326239859,-0.0013826323840939357
2017-08-19 05:00:00+00:00,-0.0012350060605560615,0.1538935920043952,-0.001480799297832179
2017-08-19 06:00:00+00:00,-0.007155581810023699,1.3598708281422638,-0.0017684090435603303
2017-08-19 07:00:00+00:00,-0.004608664064294332,1.3686984070935828,-0.002053199412766216
2017-08-19 08:00:00+00:00,-0.006348770470355425,1.376818681449339,-0.0023429263647540923
2017-08-19 09:00:00+00:00,-0.0027493517487415984,1.4407833222857656,-0.002477054205343458
2017-08-19 10:00:00+00:00,-0.002688917123046345,1.4334937019862937,-0.002700052232649838
2017-08-19 11:00:00+00:00,-0.00483754725681997,3.128685557637942,-0.0029455458046133425
2017-08-19 12:00:00+00:00,0.004633278125541891,3.1036290327481413,-0.002837559693883171
2017-08-19 13:00:00+00:00,0.0004402027030459184,3.1068694858725734,-0.002808634106290866
2017-08-19 14:00:00+00:00,0.001970561907260452,3.1275779940430515,-0.0026897399912423274
2017-08-19 15:00:00+00:00,-0.0038144022104811457,3.0364687723231176,-0.0027404536547574448
2017-08-19 16:00:00+00:00,0.00012864285849643423,3.087915939499085,-0.002564762395362559
2017-08-19 17:00:00+00:00,0.003059633225309888,0.5786820291561625,-0.002199338857510152
2017-08-19 18:00:00+00:00,-0.00028838610333340825,2.0281022965776936,-0.0018614147315075833
2017-08-19 19:00:00+00:00,0.001541826451149808,2.085381737945903,-0.0015409722057722873
2017-08-19 20:00:00+00:00,0.0014300747516998908,2.0028351719195165,-0.001086322353361368
2017-08-19 21:00:00+00:00,0.00425942708929881,2.0096327645233374,-0.0004720424959632008
2017-08-19 22:00:00+00:00,0.005776318755123355,1.9980656521072255,-1.3666800253952005e-05
2017-08-19 23:00:00+00:00,0.0046359020884567115,2.087390016470794,0.00031316007655921555
2017-08-20 00:00:00+00:00,2.809108173581117e-05,17.855316843788437,0.00022906330674704598
2017-08-20 01:00:00+00:00,0.00029768468009722104,17.823943727073758,0.00021297819758742345
2017-08-20 02:00:00+00:00,0.0020245640155561926,17.767151251280204,6.232898629715312e-05
2017-08-20 03:00:00+00:00,0.0008810806416716943,17.867455715212643,-0.00018459871514504768
2017-08-20 04:00:00+00:00,-0.0018745293295284182,17.736316328698315,-0.00018724449178068024
2017-08-20 05:00:00+00:00,-0.0008805558789216813,17.312070454214922,-0.00017247573421258106
2017-08-20 06:00:00+00:00,0.0012079822620598146,5.06224544089911,0.00017600610212423204
2017-08-20 07:00:00+00:00,0.00299174722543627,4.90234759943421,0.0004926899058630071
2017-08-20 08:00:00+00:00,0.002427991340440583,5.010923246138096,0.0008583883146461741
