event_time,proxy_mvrv_z,proxy_sopr,proxy_exchange_netflow,proxy_whale_ratio,proxy_puell_multiple
2017-08-17 04:00:00+00:00,0.0,1.0,0.0,0.0,1.0
2017-08-17 05:00:00+00:00,0.0,1.0,0.0,0.0,1.0
2017-08-17 06:00:00+00:00,0.0,1.0,0.0,0.6076454979685183,1.0
2017-08-17 07:00:00+00:00,0.0,1.0,0.0,0.5747552850124709,1.0
2017-08-17 08:00:00+00:00,0.0,1.006660916987391,-15.639527400000002,0.5680238293232525,1.0
2017-08-17 09:00:00+00:00,0.0,1.0214847386408044,-4.873926166666665,0.502860225480742,1.0
2017-08-17 10:00:00+00:00,0.0,1.0214905647904717,7.909585571428572,0.397512285163675,1.0
2017-08-17 11:00:00+00:00,0.0,1.0122296121685643,8.804459625,0.32380354625982893,1.0
2017-08-17 12:00:00+00:00,0.0,1.007550985394227,4.28338188888889,0.27960583650016363,1.0
2017-08-17 13:00:00+00:00,1.2013350321280862,1.0166327409091245,11.3070779,0.23584186178483935,1.0
2017-08-17 14:00:00+00:00,1.2227749784955693,1.0175397723626054,28.845944454545457,0.25285315535862374,1.0
2017-08-17 15:00:00+00:00,-0.6196097391440454,0.9913529133520026,41.792041,0.27408424291143624,1.0
2017-08-17 16:00:00+00:00,-0.5603126678746899,0.9924001302992838,37.63344184615385,0.2208475348777729,1.0
2017-08-17 17:00:00+00:00,-1.4504509767447566,0.9791658038064484,27.7081655,0.18746296970069476,1.0
2017-08-17 18:00:00+00:00,-1.6829355825727697,0.9736295558535423,18.030522066666663,0.16477372802427157,1.0
2017-08-17 19:00:00+00:00,-0.6559976466923323,0.989907202564927,12.624571000000003,0.15165648563276293,1.0
2017-08-17 20:00:00+00:00,-0.3254772541806819,0.9951327838825559,14.013358117647059,0.14396946413809236,1.0
2017-08-17 21:00:00+00:00,-0.509273506689678,0.9925479914312032,25.32142644444444,0.13416645079035774,1.0
2017-08-17 22:00:00+00:00,-0.4442728554527878,0.9936431544374148,19.823241263157897,0.1257081486603867,1.0
2017-08-17 23:00:00+00:00,-1.192070186351716,0.982687705040272,41.887744149999996,0.13719660994421287,1.0
2017-08-18 00:00:00+00:00,-1.1051891794462982,0.9838157047433552,40.915231899999995,0.131728909844398,1.0
2017-08-18 01:00:00+00:00,-1.6212406659618999,0.975114566246092,31.54214255,0.13022981962573027,1.0
2017-08-18 02:00:00+00:00,-1.1929857089252414,0.9814559949218384,7.5865142500000005,0.1330435873105726,1.0
2017-08-18 03:00:00+00:00,-0.7976696319472169,0.9876879083171292,14.538621250000006,0.13211893615592765,1.0
2017-08-18 04:00:00+00:00,-0.8346680407541717,0.9871861400898091,-1.1564481499999957,0.13222015387595956,1.0
2017-08-18 05:00:00+00:00,-0.43999032927398407,0.9933531444376388,9.545039700000004,0.12861857808838073,1.0
2017-08-18 06:00:00+00:00,-0.9262704474932586,0.9860299070327957,7.642676449999996,0.1256275020306275,1.0
