strategy_name,strategy_type,symbol,symbols,num_assets,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,buyhold_return,outperformance,beat_buyhold
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,30d,30,-0.07709060250468593,-1.3698035673197142,0.1639068226857317,0.5102611940298507,0,0.0,9229.09397495314,-0.03172261238795142,-0.04536799011673451,False
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,30d,30,0.041712198875595276,0.9905564198634909,0.16768960304029512,0.5251865671641791,0,0.0,10417.121988755953,-0.03172261238795142,0.0734348112635467,True
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, SOL/USDT, BNB/USDT",4,30d,30,-0.019235310777613812,-0.09811066060835152,0.17822978227557934,0.5348399246704332,0,0.0,9807.646892223862,-0.03172261238795142,0.012487301610337606,True
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, ADA/USDT, XRP/USDT",4,30d,30,-0.15852126782536616,-2.557758375113033,0.22548191508269536,0.5184834123222749,0,0.0,8414.787321746338,-0.03172261238795142,-0.12679865543741475,False
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,90d,90,0.24042182726981992,1.52195775630356,0.17353819636868698,0.5151608910891089,0,0.0,12404.2182726982,-0.06572224413093859,0.3061440714007585,True
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,90d,90,0.372753688002166,2.2140074734730977,0.16821367184866026,0.5244430693069307,0,0.0,13727.53688002166,-0.06572224413093859,0.4384759321331046,True
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, SOL/USDT, BNB/USDT",4,90d,90,0.32240834170028176,1.8143044207681547,0.1786639511389963,0.5260707635009311,0,0.0,13224.083417002817,-0.06572224413093859,0.38813058583122034,True
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, ADA/USDT, XRP/USDT",4,90d,90,0.14473460165969718,0.9445049275131703,0.2505402606272285,0.5181959564541213,0,0.0,11447.346016596972,-0.06572224413093859,0.21045684579063578,True
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,180d,180,0.1974705242539163,0.7161278504855678,0.45882146384012595,0.5143695920889988,0,0.0,11974.705242539163,0.30865427637442866,-0.11118375212051235,False
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,180d,180,0.33720799442171484,1.0226000256210126,0.4031589185730266,0.5193139678615575,0,0.0,13372.079944217148,0.30865427637442866,0.02855371804728618,True
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, SOL/USDT, BNB/USDT",4,180d,180,0.23788592473225598,0.7883617727757294,0.46613671044617633,0.5196533580934695,0,0.0,12378.85924732256,0.30865427637442866,-0.07076835164217268,False
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, ADA/USDT, XRP/USDT",4,180d,180,-0.05319853910589263,0.25524299961393143,0.48074378057974543,0.5112316034082107,0,0.0,9468.014608941074,0.30865427637442866,-0.3618528154803213,False
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,365d,365,0.4538191614555146,0.7283435630053022,0.5030667092663134,0.5126524390243903,0,0.0,14538.191614555146,0.7637817175530736,-0.30996255609755896,False
BlackLitterman,multi_pair,Portfolio[3 assets],"BTC/USDT, ETH/USDT, BNB/USDT",3,365d,365,0.6145599150010348,0.8724740995008503,0.4359940824134562,0.5189024390243903,0,0.0,16145.599150010348,0.7637817175530736,-0.14922180255203876,False
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, SOL/USDT, BNB/USDT",4,365d,365,0.5469967071321856,0.7908202748788382,0.47008319742544774,0.5169336384439359,0,0.0,15469.967071321857,0.7637817175530736,-0.21678501042088794,False
BlackLitterman,multi_pair,Portfolio[4 assets],"BTC/USDT, ETH/USDT, ADA/USDT, XRP/USDT",4,365d,365,1.0443483564304246,1.0374427616577533,0.48079276344903477,0.5136228344653896,0,0.0,20443.483564304246,0.7637817175530736,0.280566638877351,True
BlackLitterman,multi_pair,Portfolio[2 assets],"BTC/USDT, ETH/USDT",2,730d,730,3.324555175594679,1.2021856512739648,0.5029078227000864,0.5121422046285018,0,0.0,43245.55175594679,3.142525508907564,0.18202966668711484,True
